,1H4,1H6,2H4,2H6,3H6,Ado,Ant,AWW,AYL,Cor,Cym,Err,H5,H8,Ham,JC,Jn,LLL,Lr,Luc,Mac,MM,MND,MV,Oth,Per,PhT,R2,R3,Rom,Shr,Son,TGV,Tim,Tit,Tmp,TN,TNK,Tro,Ven,Wiv,WT
thou,253,175,169,204,219,86,179,100,143,99,171,134,106,25,108,116,177,93,220,96,93,116,116,104,145,94,5,177,206,278,122,235,144,209,174,185,134,84,148,70,64,131
thy,111,169,81,187,200,52,111,85,75,92,131,59,72,32,87,54,109,76,159,115,52,55,65,59,80,62,1,175,213,169,85,268,99,133,206,97,105,78,100,56,42,79
act,106,110,115,119,123,92,138,107,95,138,133,74,113,114,152,100,106,104,129,6,93,105,80,98,137,90,0,105,146,116,92,1,86,89,97,81,91,120,129,1,98,114
sc,101,105,108,112,114,87,126,97,90,129,120,69,103,105,132,93,93,99,119,0,84,94,75,90,121,81,0,99,139,109,97,0,81,83,92,73,83,109,117,0,90,106
thee,103,103,87,123,120,75,111,80,91,69,88,67,62,19,60,55,80,57,139,42,61,45,65,66,77,61,1,89,122,140,84,163,85,137,116,99,92,47,91,42,52,65
lord,129,105,165,151,77,72,54,212,29,21,101,9,58,145,225,44,29,55,99,13,38,82,29,48,91,75,0,94,252,31,53,1,29,181,62,26,39,21,113,0,5,89
king,133,106,115,225,383,2,9,136,2,2,42,1,288,239,205,6,231,175,73,11,43,7,10,4,2,54,2,277,112,3,2,3,4,2,13,42,4,7,7,3,4,61
now,85,76,97,85,129,51,89,55,59,69,67,48,94,99,101,64,69,50,79,25,54,68,68,48,106,63,2,61,94,82,84,47,77,62,72,81,72,98,108,48,84,105
good,82,31,159,61,34,85,85,90,115,94,83,26,91,118,108,71,46,56,82,12,52,100,40,63,89,56,0,52,117,86,78,16,51,62,48,43,80,71,79,9,129,103
sir,64,17,163,29,13,37,79,97,71,84,93,114,15,89,78,23,37,104,109,0,29,135,4,39,54,68,0,11,26,57,141,0,93,40,17,60,201,78,35,0,298,114
come,81,45,119,69,46,76,93,49,70,86,55,52,47,48,108,75,45,44,89,12,55,81,61,65,83,70,2,57,81,97,90,16,42,35,74,42,72,53,96,3,127,88
ll,103,78,53,67,86,48,82,67,64,92,103,45,43,52,74,30,32,42,88,8,49,52,32,57,72,75,0,34,59,91,81,8,62,52,42,71,76,114,116,7,113,94
here,57,81,98,67,67,52,53,56,66,71,79,59,43,44,65,66,48,52,76,24,41,74,70,74,81,75,4,70,63,94,82,7,49,52,85,67,56,69,90,12,86,58
enter,65,85,67,84,76,46,114,55,54,94,71,42,73,63,73,57,47,40,82,1,74,63,52,50,64,65,0,56,97,78,62,0,47,64,54,42,65,64,92,2,85,42
love,28,26,21,18,41,93,39,65,122,29,31,20,42,26,69,34,40,113,54,20,19,29,117,60,81,25,6,35,67,152,62,204,177,34,23,14,86,89,73,74,48,25
well,77,36,98,56,42,75,84,85,76,81,47,33,55,52,76,51,56,64,68,12,35,75,31,82,82,61,1,42,77,60,88,26,56,46,35,26,64,58,60,14,94,45
man,61,28,75,62,27,112,44,47,95,55,55,58,53,72,61,59,17,49,87,11,34,53,50,63,52,32,0,38,47,73,42,8,31,126,31,34,70,50,99,5,56,53
make,47,36,53,59,58,41,77,53,38,66,70,29,34,50,60,31,53,45,59,40,44,47,41,38,57,49,5,58,53,43,44,48,37,50,50,46,53,59,44,23,47,52
know,42,20,36,27,23,60,49,89,44,63,53,48,53,63,77,71,25,45,86,11,35,67,25,45,73,38,1,31,42,36,57,25,45,43,46,26,55,50,49,13,50,60
go,38,22,54,56,29,55,54,35,54,68,30,46,42,25,69,45,36,23,58,4,26,42,36,56,63,24,1,37,70,75,69,6,47,31,45,27,49,42,77,4,95,45
see,36,34,58,47,40,36,51,40,40,40,36,37,40,42,48,39,25,40,54,24,33,23,41,47,48,35,2,43,42,38,56,39,31,32,53,10,45,46,52,11,52,64
out,45,43,41,17,27,39,38,37,45,53,39,27,49,60,56,27,53,39,69,18,26,30,29,23,60,19,0,29,24,56,22,17,29,49,20,32,36,45,46,6,45,46
give,39,32,44,33,32,30,52,39,34,44,29,17,46,32,59,35,35,29,42,15,24,39,20,49,46,40,0,29,45,47,25,27,22,35,34,30,41,34,49,6,39,39
